Root	艺术;技术;文化;生活;地理;社会;人物;经济;科学;历史;自然;体育
体育	体操Mid;棋牌运动;田径运动;体育周边;冰雪运动Mid;室内运动Mid;体育组织;运动会Mid;对抗运动;健美健身;电子竞技;射击Mid;赛事;球类运动;水上项目;奥运会;武术;户外运动;极限运动
极限运动	小轮车;蹦极;冲浪;滑板;摩托艇;轮滑;攀岩;滑水;登山
户外运动	马术;公路自行车赛;马术比赛;自行车
武术	武式太极拳;形意拳;客家拳;拳术;咏春拳;内家拳;太极拳
奥运会	奥运会项目;奥运会吉祥物;奥运术语;奥运圣火;冬季奥运会;奥运会会徽;奥运火炬手;奥运场馆;奥运会场馆
水上项目	跳水;潜水;赛艇;漂流;花样游泳;皮划艇;水球;帆板;帆船;游泳
球类运动	藤球;壁球;乒乓球;棒球;网球;马球;篮球;台球;排球;门球;足球;羽毛球;垒球;沙滩排球;曲棍球;高尔夫;橄榄球;冰球
赛事	亚洲杯;世界杯;国家顶级足球联赛;西班牙足球甲级联赛;欧洲冠军杯;美洲杯;欧洲杯
射击Mid	飞靶抛射;射箭;射击姿势;射击运动;射击;飞靶射击
电子竞技	星际争霸2;星际争霸;魔兽争霸;魔兽争霸3;荣誉勋章;反恐精英
健美健身	健身健美;健美;健身球操;健身;搏击健美操
对抗运动	跆拳道;职业摔跤;拳击;美国拳击;摔跤;击剑
运动会Mid	奥林匹克运动会;运动会;亚洲运动会;残疾人运动会;冬季奥林匹克运动会;大学生运动会;东亚运动会
体育组织	冬奥会;西甲;残奥会;奥委会;中超;足球俱乐部;德甲;亚运会;nba;英超;足球队;意甲
室内运动Mid	室内体育;卡巴迪;保龄球;室内运动;室内运动项目
冰雪运动Mid	花样滑冰;冰雪项目;越野滑雪;冰上运动;冰雪运动;滑雪;高山滑雪
体育周边	体育用品;体育器械;运动服饰;体育场馆;户外;球类
田径运动	田径;链球;马拉松;标枪;现代五项;跳高;跳远;短跑;七项全能;三级跳远;铁人三项;铁饼;十项全能;竞走;铅球;长跑
棋牌运动	国际象棋;围棋;万智牌;中国象棋;象棋;棋牌
体操Mid	体操;健身操;艺术体操;健美操
自然	微生物;植物Mid;动物Mid;天文Mid;人类;自然现象
自然现象	滑坡;洪水;地震;超自然现象;气候;自然灾害;污染
人类	能人;直立人;智人;穴位;北京猿人;南方古猿;元谋人;人种;山顶洞人;蓝田人;器官;人体
天文Mid	天文术语;陨石;银河系;恒星;彗星;卫星;八大行星;探测器;星团;星云;天文;星宿;小行星;太阳系;星座;行星
动物Mid	软体动物;哺乳类;昆虫;雀形目;鸟纲;珍禽异兽;古生物;鱼类;动物;节肢动物;世界名犬;奇蹄类;鸟类;偶蹄类;原生动物;恐龙;甲壳类;食虫类;硬骨鱼类;软骨鱼类;无足类;两栖动物;珍稀濒危动物;灵长类;犬类;爬行类;食肉类
植物Mid	农作物;花卉;草本植物;乔木;多浆植物;中草药;禾本科;被子植物;藻类;木本植物;茶叶;蕨类;裸子植物;宿根植物;藤本植物;植物;孢子植物;灌木;苔藓
微生物	立克次体;噬菌体;衣原体;病毒;霉菌;原核生物;螺旋体;食用菌;古菌;放线菌;真菌;细菌;真核生物;酵母菌;类病毒;亚病毒;拟病毒;支原体;蓝藻
历史	远古史;世界历史;中国近现代史;历史地理;中国古代史;朝代
朝代	东周;隋朝;孔雀王朝;商朝;夏朝;明朝;清朝;汉朝;阿拔斯王朝;宋朝;北魏;元朝;留里克王朝;托勒密王朝;西周;东晋;西汉;北宋;秦朝;金雀花王朝;唐朝;南朝陈;南朝梁;都铎王朝;西晋;蜀汉;南宋;南朝宋;东汉
中国古代史	战国;十六国;春秋;郑和下西洋;安史之乱;康乾盛世;五代十国;三国;三皇;南北朝;五帝;五胡
历史地理	高昌;庞贝;特洛伊城;特洛伊;楼兰
中国近现代史	抗日战争;国共合作;南京大屠杀;甲午战争;大决战;中法战争;新文化运动;辛亥革命;中华民国;解放战争;北洋军阀;五四运动;国民革命运动;八国联军侵华战争;鸦片战争;卢沟桥事变;戊戌变法;长征;甲午中日战争;百团大战;新中国;洋务运动;四大家族
世界历史	第三世界;十月革命;启蒙运动;北美独立战争;第一次世界大战;社会主义运动;桃山安土时代;东欧剧变;文艺复兴;第一次工业革命;资产阶级革命;古代;法国大革命;日本历史;南北战争;宗教改革;亚洲革命风暴;第二次工业革命;江户时代;第二次世界大战
远古史	志留纪;始新世;三叠纪;渐新世;元古代;二叠纪;第四纪;上新世;太古代;第三纪;古新世;古生代;中新世;石炭纪;震旦纪;中生代;侏罗纪;白垩纪;奥陶纪;新生代;冥古代;寒武纪
科学	交叉学科;生物学Mid;数理化;应用科学;系统科学;政治经济学;医药学
医药学	药方;药物;疾病;抗生素;超声;食疗;护理学;药学;医学技术;医疗器械;中药;生育;药理学;心理学;医药;口腔医学;西药;药剂学;法医学;临床医学;基础医学;药品;预防医学;病理学;农业;中医;医疗保健;医学;生物医学;医疗
政治经济学	企业管理;应用经济学;行政管理;会计学;财政学;经济学;世界经济;农业经济;政治思想;运输经济;微观经济学;统计学;商业经济;金融学;技术经济学;政治学;工业经济;人口经济学;政治制度;国民经济学;基本理论;国际政治;国防经济学;宏观经济学;中国经济史;劳动经济学;区域经济学;商品学;城市经济
系统科学	系统工程
应用科学	航空;区域社会学;科学社会学;社会学;经济社会学
数理化	定理;物理;几何;机率论;核化学;化学;电磁学;代数;核能;猜想;分析学;公式;分析化学;四大发明;集合论;逻辑学;定义;辐射;量子力学;相对论;实验;航空航天;热力学;拓扑;牛顿力学;无机化学;化学元素;公理;应用数学;有机化学
生物学Mid	微生物遗传学;细胞学;遗传学;生态学;微生物生理学;微生物学;优生学;纳米科技;细菌学;动物学;细胞生物学;生理学;基因学;植物学;形态学;孢粉学;悉生生物学;分子生物学;胚胎学;生物物理学;进化;生物数学;免疫学;生物声学;生物学;习性学;微生物;仿生学;生物;生物分类学
交叉学科	材料物理化学;生物化学技术;物理化学;生物力学;生物化学;环境科学
经济	企业/品牌;货币;金融;经济理论;证券;管理
管理	MBA;管理软件;人力资源;管理理论
证券	基金;股票;期货
经济理论	西方经济学;经济学派;经济学家
金融	银行;贸易;财政;理财;国际金融;保险;投资;债券
货币	人民币;欧元;法郎;美元
企业/品牌	联想;奔驰;诺基亚;三星;戴尔;微软;英特尔
人物	体育领域;军事领域;文学领域;虚拟人物Mid;艺术领域;社会科学;自然科学;人文领域
人文领域	领导人;古代嫔妃;古代皇子;皇帝;佛学家;政论家;改革家;法学家;使节;政治家;教师;政治学家;女王;宦官;诺贝尔和平奖得主;首相;王子;民俗学家;大臣;古代皇后;儒学家;武术家;王妃;汉学家;总统
自然科学	化学家;农学家;医学家;医师;农业学家;物理学家;数学家;科学家;古生物学家
社会科学	考古学家;神学家;管理学家;教育家;社会学家;人类学家;当代法学家
艺术领域	艺术家;书画家;作曲家;主持人;书法家;雕塑家;导演
虚拟人物Mid	小说人物;游戏人物;动漫人物;动画人物;虚拟人物;卡通人物
文学领域	诗人;学者;思想家;汉赋四大家;哲学家;明四家;江南四大才子;语言学家;元四家;文字学家;小说家;一百零八将;诺贝尔文学奖得主;竹林七贤;著名作家;金陵十二钗;桐城三祖;初唐四杰;六朝四大家;宋四家;文学家;翻译家;元曲四大家;建安七子;唐宋八大家;诸子百家;作家;扬州八怪;散文家;网络作家
军事领域	将军;解放军将领;西园八校尉;革命烈士;民族英雄;将领;韩遂八部将;七十二烈士;云台二十八将;春秋五霸;戊戌六君子;军事家;维新四公子;战国四公子;十八路诸侯;江夏八俊;八司马;蜀汉五虎将
体育领域	运动员;世界著名运动员;足球运动员;著名运动员;奥运冠军;球星;球员;篮球运动员;体育运动员;乒乓球运动员
社会	政法;职业;基础设施;民族Mid;机构Mid;军事Mid;传媒
传媒	广播电视;广告;报刊;视频;网络媒体
军事Mid	潜艇;军事;航天飞机;航母;工艺;核武器;军事装备;火箭;兵器;军队;枪械;战斗机;战争;坦克;武器
机构Mid	基金会;酒店;纪念馆;医院;官职;诺贝尔奖;组织机构;联合国;军事组织;官员;组织;博物馆;公司;管理;企业;外交;协会;职能部门;机构
民族Mid	姓氏;民俗;汉族;习俗;民族;风俗
基础设施	商业服务;环保;邮电;医疗卫生;技术服务;园林绿化;供水;交通;供电
职业	行业;职业规划;新职业;职业培训;招聘
政法	大陆法系;宪法;法律;经济法;刑法;行政法;政治;英美法系;民法;外交法;劳动法
地理	地貌;国家;区域地理;地质Mid;水域;矿物
矿物	金属;玉石;宝石;稀有金属;矿石;岩石;有色金属
水域	北美洲五大湖;大西洋;海峡;水文;岛弧;运河;河流;深海平原;海域;湖泊;北冰洋;太平洋;海岸带;印度洋;海沟;温泉;流水域;大陆边缘;岛屿;瀑布;地下水;海岭;洋盆;滩涂;大陆架;海底山脉
地质Mid	地质学;地质年代;地质;构造地质学;构造地质
区域地理	浙江;辽宁;海南;四川;贵州;甘肃;江西;青海;内蒙古;山西;西藏;江苏;黑龙江;河北;直辖市;湖北;新疆;宁夏;云南;行政区划;台湾;陕西;山东;福建;吉林;安徽;广西;湖南;河南;广东
国家	日本;印度;朝鲜;埃及;泰国;哥伦比亚;新加坡;墨西哥;荷兰;德国;法国;巴西;俄罗斯;中国;希腊;阿根廷;奥地利;英国;芬兰;丹麦;马来西亚;葡萄牙;美国;韩国;西班牙;澳大利亚;瑞典;意大利;加拿大;瑞士
地貌	高原;沙丘;河谷;四大高原;荒漠;喀斯特地貌;七大洲;台地;地貌学;海洋;地形地貌;平原;山地;戈壁;熔岩;火山;沙地;构造地貌学;洼地;沼泽;大陆;山脉;四大盆地;五岳;丘陵;盆地;冰川;沙漠;湿地
生活	时尚Mid;饮食Mid;游戏Mid;休闲;交通;居家;娱乐;服饰;旅游
旅游	景点;名胜古迹;世界遗产;风景名胜;国家级风景名胜区;旅游装备;驴友
服饰	服装面料;首饰;服装品牌;民族服饰;鞋;饰品;服装设计
娱乐	流行歌曲;动漫;影视
居家	电器;洗衣机;空调;家具;电风扇;装修;电视
交通	交通地图;磁悬浮;车站;火车;客机;汽车;铁路;地铁;名街
休闲	野外生存;婚姻;影片;探险;茶艺;剧情片;游戏王;旅游;收藏;娱乐;插花;塑身;工作;运动;购物;爱情;唱片;歌曲;情感;西湖十景
游戏Mid	射击游戏;网络游戏;游戏王卡;电视游戏;赛车游戏;格斗游戏;RPG游戏;手机游戏;红色警戒;益智游戏;单机游戏;休闲游戏;电子竞技;战略游戏;游戏;桌面游戏
饮食Mid	食品;川菜;烹饪;西餐;食谱;老字号;闽菜;西点;饮食;小吃;美食;满汉全席;浙菜;菜谱;粤菜;鲁菜;徽菜;苏菜;湘菜;私房菜;药膳
时尚Mid	手绘;涂鸦;流行;纹身;奢侈品;品牌;泡吧;行为艺术;美容;自拍;茶道;模特;暴走;时尚;另类
文化	民俗;网络文化;文物古迹;语种;中华文化;文学;学派;宗教Mid
宗教Mid	四大佛教名山;道教;印度教;天主教;伊斯兰教;新教;佛教;基督教;穆斯林;庙宇;犹太教;婆罗门教;圣经;东正教;锡克教;宗教;佛教术语;藏传佛教
学派	法学学派;历史学派;科学学派;宗教学派;政治学派;学术学派;佛教学派;建筑学派;管理学派;教法学派;哲学学派;民族学学派;语言学派;数学学派
文学	五格;诗词;语文;字典;诗歌;故事;杂文;四大名著;六才子书;世界名著;小说;成语;谚语;谜格;成语词典;俗语;二十四史;三言二拍;女书;晚清四大谴责小说;词汇;俚语;书籍;典故;传说;雪域文化;散文;歇后语;汉字;寓言
中华文化	宋词;书画;唐诗;中国服饰;中国神话;古典典籍;中国音乐;元曲;百家争鸣;百家姓;武术;中国饮食;四书五经
语种	汉语;词语;汉藏语系;语言;方言;德拉维达语系;高加索语系;韩语;日语;德语;葡萄牙语;西班牙语;阿尔泰语系;法语;印欧语系;闪含语系;英语;乌拉尔语系
文物古迹	自然保护区;文化遗产;古董;考古;遗迹;世界文化遗产;自然遗产;自然景观;人文景观;文化古迹;遗址;全国重点文物保护单位
网络文化	网络名词;网络文学;网络社区;网络术语;网络用语
民俗	生肖;礼节;节日;民歌;婚俗;节气
技术	工程;互联网Mid;通信;硬件;软件;数码Mid
数码Mid	移动电话;电话;DVD;数码;数码相机;手机;DV;刻录机;电子;mp3;VCD;mp4
软件	操作系统;多媒体应用;杀毒;软件解码;浏览器;文件格式;系统进程;进程;程序;办公软件;应用软件;系统工具
硬件	CPU;硬盘;鼠标;电脑;光驱;摄像头;主板;网卡;移动硬盘;电脑主板;键盘;计算机;U盘;显示器;内存;显卡;笔记本电脑;声卡
通信	无线通讯;无线通信;卫星通信;移动通信;即时通讯;光通信
互联网Mid	搜索引擎;互联网;宽带;数据库;网络;计算机病毒;IP地址;IT;木马;电脑病毒;计算机安全;web;计算机技术;编程;网络电话;下载;域名;电子商务
工程	电气工程;土木工程;机械工程;生物工程;化学工程;水利工程
艺术	音乐;绘画;工艺品;电影;雕塑;戏剧;建筑Mid;舞蹈
舞蹈	街舞;现代舞;芭蕾舞;民族舞;舞蹈家
建筑Mid	城堡;寺庙;碑林;宝塔;建筑;教堂;南三阁;园艺;世界七大奇迹;宫殿;北四阁;江南四大名楼;桥梁
戏剧	歌剧;话剧;戏剧家;粤剧;越剧;剧本
雕塑	世界十大雕塑;纪念碑;浮雕;圆雕;雕像
电影	电影奖项;电影演员;电影技术;电影流派;电影导演
工艺品	剪纸;面塑;金银器;布艺;宜兴紫砂陶;玉器;竹编;陶俑;彩绘;米塑;编织;雕刻;漆器;纹饰;折纸;唐卡;印染;藤编;蜡染;收藏品;工艺美术;瓷器;泥塑;刺绣;景泰蓝;四大名绣;器皿;陶器;陶艺;唐三彩
绘画	画家;国画;油画;画派
音乐	乐队;现代音乐;摇滚;音乐家;声乐;乐器;爵士;古典音乐
